Plaza del Adelantado;Bajamar;Punta del Hidalgo;Ten-Bel;El Camisón;Los Cristianos;Martiánez;Playa de Mesa del Mar;Playa Jardín;San Marcos;Torviscas y Fañabé;Troya;Acantilados de los Gigantes;Auditorio de Tenerife;Basílica Nuestra Señora de la Candelaria;Parque del Drago;Parque Nacional del Teide;Barranco del Infierno;Rambla de Castro;Buenavista Golf;Centro de Golf Los Palos;Golf Costa Adeje;Golf del Sur;Golf Las Américas;Real Club de Golf de Tenerife;Tecina Golf;Abama Spa;Aequor spa;Aqua Club Termal;Centro de medicina Natural Océano;Caroli Health Club;Bahía del Duque Spa;Centro Wellness del Hotel Jardín Tropical;Spa Blue Sea Puerto Resort;Mare Nostrum Spa;Natural Wellness Spa;Riu Palace Body Love;Spa Atlantis;Bp San Felipe;Club Spa La Quinta Park;Spa Magek;Spa Royal Garden Villas;Spa Hotel Europe Villa Cortés;Spa Villalba;Thai Zen Space;Thalasso H10 Conquistador;Spa Nammu;The Oriental Spa Garden;Vitanova Spa Wellness;Centro Histórico de Santa Cruz de Tenerife;Centro Histórico de Garachico;Oficina de información turística Cabildo Aeropuerto Tenerife Sur;Oficina de información turística de Fañabé;Oficina de información turística de Icod de Los Vinos;Oficina de información turística del Médano;Oficina de información turística de Arona - Playa de las Américas;Oficina de información turística de Arona - Playa de las Vistas;Oficina de información turística de Plaza del Duque;Oficina de información turística Cabildo de Puerto de la Cruz;Oficina de información turística Cabildo Aeropuerto de Los Rodeos;Oficina de información turística de San Cristóbal de La Laguna;Oficina de información turística Cabildo Santa Cruz de Tenerife;Oficina de información turística de Costa Adeje - Troya;Centro Histórico de Adeje;Centro Histórico de Arona;Centro Histórico de Granadilla de Abona;Centro Histórico de Puerto de la Cruz;Centro Histórico de La Laguna;Centro Histórico de La Orotava;Caserío de Masca;Casa del Vino;Chinyero;Malpaís de Güímar;Montaña Roja y Montaña Pelada;Paisaje Lunar de Granadilla;Parque Natural de la Corona Forestal;Parque Rural de Anaga;Parque Rural de Teno;Aqualand Costa Adeje;Loro Parque;Parque Las Águilas-Jungle Park;Parque Marítimo César Manrique;Parque Etnográfico Pirámides de Güímar;PuebloChico;Siam Park;Abama;Amarilla Golf;Barakuda Diving Center;Blue Bottom Diving;Centro de Buceo Atlantik;Diversity-Escuela de Buceo;Centro de Buceo Ecosub Tenerife;Centro de Buceo el Cardumen;Marina de Santa Cruz;Marina de San Miguel;Charco de la Laja;Complejo Costa Martiánez;El Caletón;El Bollullo;El Duque;El Médano;El Socorro;La Arena;La Pinta;La Tejita;Las Teresitas;Las Vistas
Centro Histórico de Garachico;45;58;62;85;76;76;31;59;29;13;71;73;59;49;59;9;80;104;27;20;75;73;80;71;39;243;67;70;71;62;71;72;70;31;75;75;72;81;33;34;82;69;76;94;70;76;71;31;72;53;0;80;71;10;80;74;74;71;32;43;46;53;73;72;81;86;32;45;30;42;36;59;65;87;116;78;83;33;70;30;77;48;74;26;72;65;81;71;70;28;71;32;32;59;85;18;33;1;36;72;83;27;57;72;84;64;74
Oficina de información turística Cabildo Aeropuerto Tenerife Sur;40;58;62;18;17;16;55;66;59;77;16;14;45;37;31;77;63;39;59;91;12;22;9;12;45;184;35;15;13;62;18;19;13;56;16;15;18;10;57;53;11;18;17;33;15;16;17;55;17;43;79;0;16;78;10;16;14;16;60;42;42;41;15;20;19;15;60;42;56;59;46;86;32;16;48;114;72;75;13;62;17;37;77;54;12;34;10;22;14;60;14;58;60;47;14;65;57;78;60;17;13;63;37;15;13;52;14
Oficina de información turística de Fañabé;50;67;72;20;11;10;65;76;69;71;0;7;35;47;41;68;63;39;68;82;10;12;15;5;55;178;26;3;5;72;6;7;5;65;10;10;7;16;67;62;17;9;11;33;4;11;6;65;5;52;72;15;0;68;19;9;8;4;70;52;52;51;8;10;16;25;70;52;66;50;55;76;41;25;58;105;82;66;5;72;12;46;82;64;7;24;16;12;5;69;6;68;69;57;20;76;67;70;70;6;22;73;27;7;21;62;9
Oficina de información turística de Icod de Los Vinos;41;53;58;81;73;72;27;55;25;8;67;69;56;44;55;1;75;100;23;27;72;69;77;67;35;240;63;66;67;58;67;69;67;27;72;71;68;77;28;30;79;66;72;90;67;72;67;27;68;49;10;76;67;0;76;70;70;67;28;38;41;48;69;68;77;81;28;41;26;42;32;55;61;82;112;70;79;40;66;26;74;44;70;22;68;62;78;68;66;24;68;28;27;54;81;13;29;8;31;68;79;22;53;68;79;59;70
Oficina de información turística del Médano;40;57;62;21;20;19;55;66;59;77;19;18;48;37;31;74;67;42;58;94;15;25;12;16;45;187;39;18;16;62;21;22;16;55;19;18;21;13;57;52;15;21;20;38;18;19;20;55;20;42;79;9;19;75;0;19;17;19;60;42;42;41;18;23;22;14;60;42;56;62;45;89;31;9;47;117;72;79;16;62;20;36;76;54;15;37;14;25;18;59;18;58;59;47;17;64;57;78;60;20;6;63;40;18;6;52;17
Oficina de información turística de Arona - Playa de las Américas;49;66;71;18;7;6;64;75;68;73;8;2;37;46;39;70;62;38;67;84;9;14;14;4;53;174;28;7;6;70;10;11;5;64;6;5;11;14;65;61;16;11;7;32;8;6;10;63;10;51;74;13;8;70;18;0;7;8;69;51;51;50;2;12;14;24;69;50;64;52;54;78;40;24;57;107;80;68;6;70;11;45;81;62;4;26;15;14;7;68;6;66;68;56;18;73;66;72;69;10;21;71;29;7;20;60;5
Oficina de información turística de Arona - Playa de las Vistas;49;66;70;19;7;6;64;74;68;74;9;7;38;45;39;71;60;36;67;84;9;15;13;6;53;174;29;8;6;70;11;12;6;64;6;6;11;14;65;61;15;11;7;31;8;6;10;63;10;51;74;13;9;71;18;6;0;9;68;51;50;49;8;13;13;23;69;50;64;52;54;79;40;24;56;107;80;69;6;70;10;45;80;62;5;27;14;15;8;68;8;66;68;55;18;73;65;73;69;10;21;71;30;8;19;60;5
Oficina de información turística de Plaza del Duque;50;68;72;20;11;10;65;76;69;71;3;8;35;47;41;68;63;39;69;82;10;10;15;6;55;178;26;2;5;72;4;5;5;66;10;10;5;16;67;63;17;9;11;34;3;11;4;65;1;52;72;15;3;68;19;9;9;0;70;52;52;51;8;10;16;25;70;52;66;50;56;76;42;26;58;105;82;66;5;72;12;47;83;64;7;24;16;12;5;70;6;68;70;57;20;77;67;70;70;2;22;73;27;7;21;62;9
Oficina de información turística Cabildo de Puerto de la Cruz;28;41;45;74;73;72;9;42;3;31;72;71;82;32;42;29;64;95;12;50;68;78;66;69;22;240;90;71;70;45;74;75;69;8;72;72;74;67;8;17;68;75;73;90;72;73;74;7;73;36;33;62;72;29;63;72;70;72;0;25;29;35;71;76;75;68;0;28;14;69;19;81;48;69;99;97;66;64;69;8;73;31;58;10;68;88;67;78;71;6;71;6;2;42;70;18;9;32;18;74;66;17;79;72;66;46;71
Oficina de información turística Cabildo Aeropuerto de Los Rodeos;7;20;25;53;52;51;18;29;22;39;51;50;80;11;21;37;66;74;21;59;47;57;45;48;7;219;71;50;49;24;53;54;48;18;51;51;54;46;19;15;47;54;52;69;51;52;53;18;52;15;42;41;51;38;42;51;49;51;23;0;8;15;50;55;54;47;23;7;18;78;8;90;27;49;78;106;45;72;49;24;52;10;50;17;48;69;46;57;50;22;50;20;22;21;49;27;20;40;23;53;45;25;72;51;46;25;50
Oficina de información turística de San Cristóbal de La Laguna;6;20;25;53;52;51;20;30;24;41;51;49;80;10;21;39;65;74;23;61;47;57;44;47;9;219;70;50;48;24;53;54;48;20;51;50;53;45;21;17;46;53;52;68;50;51;52;19;52;15;43;40;51;39;42;51;49;51;24;7;0;14;50;55;54;47;25;1;20;79;10;92;27;48;78;107;44;74;48;26;52;10;49;18;47;69;45;57;49;24;49;22;24;20;49;29;22;42;25;52;45;27;72;50;45;25;49
Oficina de información turística Cabildo Santa Cruz de Tenerife;12;29;33;53;51;51;26;37;30;48;50;49;79;6;20;46;73;74;30;68;47;57;44;47;16;218;70;50;48;33;52;53;48;27;51;50;53;45;28;24;46;53;51;68;50;51;52;26;52;4;50;40;50;46;42;50;49;51;31;14;13;0;50;54;54;47;32;13;27;86;17;99;26;48;77;114;35;81;48;33;51;4;56;25;47;68;45;56;49;31;49;29;31;14;49;36;28;49;32;52;45;34;71;50;45;16;49
Oficina de información turística de Costa Adeje - Troya;49;67;71;19;8;8;64;75;68;74;8;4;38;46;40;70;62;38;68;84;9;15;14;4;54;176;28;8;6;71;11;12;4;65;8;7;12;15;66;62;16;11;8;33;9;8;11;64;10;51;74;14;8;71;18;6;8;9;69;51;51;50;0;13;15;24;69;51;65;52;55;79;41;25;57;107;81;68;5;71;11;46;81;63;4;27;15;15;7;68;5;67;69;56;19;74;66;73;69;11;21;72;30;6;20;61;7
Centro Histórico de Adeje;53;70;74;22;13;13;67;78;71;70;8;10;34;49;43;67;62;41;71;81;13;11;17;8;57;180;25;7;8;74;9;10;7;68;13;12;9;18;69;65;19;7;13;36;7;13;8;67;10;55;71;17;8;67;22;11;11;9;72;54;54;53;10;0;18;27;73;54;68;49;58;75;44;28;60;104;84;65;7;74;14;49;81;66;9;23;18;11;7;72;8;70;72;59;22;76;69;69;72;10;25;75;26;9;23;64;11
Centro Histórico de Arona;55;72;77;24;17;16;70;81;74;81;16;15;45;52;46;78;47;22;73;92;14;22;20;13;59;184;36;15;14;77;18;19;13;70;16;15;18;21;71;67;22;19;17;17;16;16;18;70;17;57;82;19;16;78;24;16;14;16;75;57;57;56;15;20;0;27;75;57;71;60;60;51;46;30;53;115;87;76;13;77;10;51;66;69;12;34;21;22;15;74;15;73;74;62;25;79;72;80;75;18;27;78;37;16;26;67;14
Centro Histórico de Granadilla de Abona;50;67;71;28;27;27;64;75;68;86;26;25;55;46;40;84;59;39;68;102;23;33;20;23;54;195;46;26;24;71;28;30;24;65;27;26;29;21;66;62;22;29;27;30;26;27;28;64;28;52;88;17;26;84;18;27;25;27;69;51;51;50;26;30;27;0;70;51;65;70;55;64;41;24;35;125;81;86;24;71;28;46;78;63;23;45;21;32;25;69;25;67;69;56;24;74;66;87;69;28;21;72;47;26;21;61;25
Centro Histórico de Puerto de la Cruz;28;41;45;74;73;73;8;42;3;30;72;71;82;32;42;28;63;96;12;50;69;79;66;69;23;240;89;72;70;45;74;75;70;7;72;72;75;67;8;17;68;75;73;90;72;73;74;7;74;36;32;62;72;28;64;72;71;73;0;26;29;36;72;76;76;69;0;29;14;68;19;81;48;70;99;96;66;63;70;7;73;31;58;9;69;88;67;78;71;5;71;4;2;42;71;18;8;31;18;74;67;16;79;72;67;47;71
Centro Histórico de La Laguna;5;21;25;51;50;49;18;29;22;40;49;48;78;9;19;38;64;72;21;59;45;55;43;46;8;217;69;49;47;25;51;52;46;18;49;49;52;44;20;15;45;52;50;67;49;50;51;18;51;13;42;39;49;38;40;49;47;49;23;5;3;13;48;53;53;46;23;0;19;78;8;90;25;47;76;106;43;73;47;25;50;8;47;17;46;67;44;55;48;22;48;21;23;19;48;27;20;41;23;51;43;26;70;49;44;24;48
Centro Histórico de La Orotava;23;36;40;69;68;67;9;37;12;30;67;66;81;26;37;27;52;90;11;49;63;73;61;64;17;235;89;66;65;40;69;70;64;9;67;67;69;61;11;12;63;69;68;79;67;67;68;9;68;31;32;57;67;28;58;67;65;67;13;20;23;30;66;71;70;63;13;23;0;68;14;80;43;64;94;96;61;62;64;14;68;26;47;7;63;87;62;73;66;12;66;12;12;37;65;17;11;30;13;68;61;16;78;66;61;41;65
Caserío de Masca;79;92;97;63;54;54;66;93;63;46;49;51;38;83;84;43;67;82;61;33;54;51;58;49;74;222;45;48;49;96;49;50;48;66;54;53;50;59;67;68;60;47;54;72;49;54;49;65;50;88;40;58;49;43;63;52;52;49;66;77;80;87;51;50;59;68;67;80;65;0;70;51;85;69;101;80;117;17;48;65;56;82;86;61;50;44;60;50;48;62;49;66;66;93;63;52;67;39;70;50;66;61;35;50;65;98;52
Casa del Vino;12;25;29;58;57;56;12;26;16;33;56;55;85;16;26;31;62;80;15;53;53;62;50;53;7;224;76;56;54;29;58;59;54;12;56;56;59;51;13;9;52;59;57;74;56;57;58;11;58;20;35;46;56;31;47;56;55;57;17;10;13;20;56;60;60;53;17;13;12;71;0;84;32;54;83;99;50;66;54;18;57;15;55;10;53;74;51;62;55;16;55;14;16;26;55;21;14;34;17;58;51;19;77;56;51;31;55
Chinyero;91;104;109;53;44;43;78;105;75;58;38;40;40;95;74;55;57;72;73;68;43;41;48;38;86;211;39;38;38;108;39;40;38;78;43;43;39;49;79;80;50;37;44;63;38;44;38;77;40;100;59;48;38;55;52;42;41;39;78;89;92;99;41;39;49;58;79;92;77;52;82;0;74;59;91;66;129;68;38;77;45;94;77;73;40;37;49;39;37;74;39;78;78;105;53;64;79;57;82;40;55;73;37;40;54;110;42
Malpaís de Güímar;27;45;49;45;44;43;42;53;46;64;43;42;72;24;18;62;78;66;46;84;39;49;37;40;32;211;63;42;41;49;45;46;40;43;43;43;46;38;44;40;39;46;44;61;43;44;45;42;45;30;66;33;43;62;34;43;41;43;47;29;29;28;42;47;46;39;48;29;43;87;33;113;0;41;70;130;59;97;41;49;44;24;62;41;40;61;38;49;42;47;42;45;47;34;42;52;44;65;47;45;37;50;64;43;38;39;42
Montaña Roja y Montaña Pelada;47;65;69;29;27;26;62;73;66;84;26;25;55;44;38;82;75;50;66;102;22;32;19;23;52;194;46;26;24;69;28;29;23;63;26;26;29;20;64;60;18;29;27;45;26;27;28;62;28;50;86;16;26;82;10;26;24;26;67;49;49;48;25;30;30;22;68;49;63;70;53;96;39;0;54;125;79;86;24;69;27;44;84;61;23;44;20;32;25;67;25;65;67;54;24;72;64;85;67;28;9;70;47;26;7;59;25
Paisaje Lunar de Granadilla;77;95;99;58;57;57;92;103;96;114;56;55;85;74;68;112;67;63;96;132;53;62;49;53;82;224;76;56;54;99;58;59;54;93;56;56;59;50;94;90;52;59;57;41;56;57;58;92;58;80;116;47;56;112;47;56;55;57;97;79;79;78;56;60;56;34;98;79;93;100;83;72;69;54;0;155;109;116;54;99;57;74;86;91;53;74;51;62;55;97;55;95;97;84;54;102;94;115;97;58;50;100;77;56;51;89;55
Parque Natural de la Corona Forestal;107;120;124;119;110;110;93;121;91;74;105;107;94;111;121;71;98;138;89;89;110;107;114;105;101;277;101;104;105;124;105;106;104;93;110;109;106;115;95;96;116;103;110;128;104;110;105;93;106;115;76;114;105;71;119;108;108;105;94;105;108;115;107;106;115;124;94;107;92;80;98;66;127;125;157;0;145;88;104;92;111;110;96;88;106;100;115;106;104;90;105;94;94;121;119;80;95;75;98;106;122;89;91;106;120;126;108
Parque Rural de Anaga;41;58;63;82;81;80;56;67;60;78;80;79;109;36;50;75;102;103;59;97;76;86;73;76;45;248;99;79;77;63;82;83;77;56;80;79;82;74;57;53;75;82;81;98;79;80;81;56;81;35;80;70;80;76;71;80;78;80;61;43;43;33;79;84;83;76;61;43;56;116;46;128;56;77;107;144;0;110;77;63;81;33;86;55;76;98;75;86;79;60;79;59;60;39;78;65;58;78;61;81;74;64;101;79;74;41;78
Parque Rural de Teno;75;88;92;80;71;71;61;89;59;43;66;68;54;79;89;39;84;99;57;25;70;68;75;66;69;238;62;65;65;92;66;67;65;61;70;70;67;76;62;64;77;64;71;89;65;71;66;61;67;83;32;75;66;40;79;69;69;66;62;72;76;82;68;67;76;85;62;75;60;18;66;68;95;86;118;88;113;0;65;60;72;78;103;56;67;60;76;66;65;58;66;62;61;89;80;47;63;31;65;67;82;57;51;67;81;93;69
Aqualand Costa Adeje;49;67;71;19;9;9;64;75;68;71;5;4;34;46;40;67;63;39;68;81;9;12;14;5;54;177;25;5;2;71;7;8;1;64;8;8;8;15;66;62;16;8;9;33;5;9;7;64;7;51;71;14;5;68;18;7;8;6;69;51;51;50;5;10;15;24;69;51;65;49;55;75;40;25;57;104;81;65;0;71;12;45;82;63;2;24;15;12;3;68;3;67;69;56;19;76;66;70;69;7;21;72;27;4;20;61;7
Loro Parque;29;42;46;75;74;74;13;43;4;29;73;72;80;33;43;26;64;97;10;48;70;80;67;70;24;241;88;73;71;46;75;76;71;12;73;73;76;68;12;18;69;76;74;91;73;74;75;12;75;37;31;63;73;27;65;73;72;74;10;27;30;37;73;77;77;70;10;30;15;67;20;79;49;71;100;95;67;61;71;0;74;32;59;11;70;86;68;79;72;4;72;10;10;43;72;16;14;29;20;75;68;15;77;73;68;48;72
Parque Las Águilas-Jungle Park;51;68;73;21;11;10;66;77;70;76;10;9;39;48;42;72;57;31;69;86;11;17;16;7;56;178;30;10;8;73;12;13;8;66;10;10;13;17;68;63;18;13;11;28;10;11;12;66;12;53;76;16;10;73;20;10;8;11;71;53;53;52;10;14;9;26;71;53;67;54;56;80;42;27;59;109;83;70;8;73;0;47;76;65;7;29;17;16;9;70;9;69;71;58;21;75;68;74;71;12;23;74;31;10;22;63;9
Parque Marítimo César Manrique;10;27;32;49;47;47;25;36;29;47;46;45;75;0;17;44;71;70;28;66;43;53;40;43;15;214;66;46;44;32;48;50;44;25;47;46;49;41;27;22;42;49;47;64;46;47;48;25;48;6;49;36;46;45;38;46;45;47;30;12;12;4;46;50;50;43;30;12;26;85;15;97;23;44;73;113;38;79;44;32;47;0;55;24;43;65;41;52;45;29;45;28;29;10;45;34;27;48;30;48;41;33;67;46;41;15;45
Parque Etnográfico Pirámides de Güímar;60;76;81;96;94;93;59;84;62;79;94;92;96;64;64;77;37;86;61;99;91;96;88;90;62;261;94;93;91;81;94;95;90;59;93;92;95;88;60;61;90;92;94;63;93;93;94;58;95;69;81;84;94;77;85;93;91;94;62;61;60;68;93;95;83;87;63;60;57;97;64;62;70;91;108;108;98;112;91;64;85;63;0;56;90;93;89;95;93;62;92;61;62;74;92;67;61;80;63;95;88;65;93;93;88;79;91
PuebloChico;20;33;37;66;65;64;7;34;7;25;64;63;76;24;34;22;55;87;6;44;60;70;58;61;14;232;84;63;62;37;66;67;61;6;64;64;66;59;7;9;60;67;65;81;64;65;66;5;65;28;27;54;64;23;55;64;62;64;7;17;21;27;63;68;67;60;8;20;5;63;11;75;40;61;91;91;58;57;61;10;65;23;49;0;60;82;59;70;63;7;63;7;7;34;62;12;9;26;10;66;58;11;73;64;58;38;63
Siam Park;49;66;71;19;8;8;64;75;68;73;6;3;37;46;40;69;62;38;67;83;9;14;14;4;53;176;27;7;4;71;9;11;2;64;7;7;10;15;65;61;16;10;8;32;7;8;9;64;9;51;73;13;6;70;18;6;7;8;69;51;51;50;4;12;15;24;69;51;65;51;54;78;40;24;57;106;81;67;2;71;11;45;81;63;0;26;15;14;5;68;3;67;68;56;19;73;66;72;69;9;21;72;29;4;20;61;6
Abama;60;77;82;30;21;20;75;86;82;65;15;17;20;57;51;62;60;49;80;76;20;17;25;15;65;188;2;15;15;82;16;17;15;75;20;20;16;26;77;72;27;13;21;43;15;21;15;75;17;62;66;25;15;62;29;19;18;16;80;62;62;61;18;16;26;35;80;62;76;44;65;70;51;35;68;99;92;60;15;84;22;56;79;74;17;0;26;12;14;81;16;78;79;67;30;71;77;64;80;17;32;80;12;17;31;72;19
Amarilla Golf;48;65;70;20;20;20;63;74;67;84;19;18;48;45;38;81;66;42;66;94;16;26;6;16;52;188;39;19;17;70;21;23;17;63;20;19;22;3;64;60;12;22;20;37;19;20;21;63;21;50;85;12;19;81;17;20;18;20;68;50;50;49;19;23;23;22;68;49;63;63;53;89;39;21;55;118;80;79;17;69;21;44;85;62;16;38;0;25;18;67;18;66;67;55;4;72;65;83;68;21;19;71;40;19;17;60;18
Barakuda Diving Center;54;71;76;23;15;14;69;80;73;69;9;11;33;51;45;66;62;43;72;79;14;11;19;9;58;182;24;9;9;76;10;11;9;69;14;14;10;20;70;66;21;7;15;37;9;14;9;69;11;56;70;18;9;66;23;13;12;9;74;56;56;55;12;9;19;29;74;55;70;48;59;74;45;29;62;103;86;64;9;76;16;50;81;68;11;22;20;0;8;73;10;72;73;61;23;75;71;68;74;11;26;77;25;11;25;66;12
Blue Bottom Diving;50;67;72;19;9;9;65;76;69;73;5;4;37;47;40;69;63;39;68;82;10;14;15;5;54;177;27;6;4;72;8;10;2;65;9;8;9;16;66;62;17;10;9;34;6;9;8;65;8;52;73;14;5;70;19;7;8;7;70;52;52;51;5;12;16;25;70;51;66;51;55;77;41;25;58;106;82;68;3;72;12;46;82;64;4;26;16;14;0;69;3;68;69;57;19;74;67;72;70;8;22;73;29;3;21;62;8
Centro de Buceo Atlantik;26;39;44;73;71;71;11;40;3;26;70;69;77;30;41;24;61;94;7;46;67;77;64;67;21;239;85;70;68;43;73;74;68;10;71;70;73;65;11;16;66;73;71;88;70;71;72;10;72;35;28;60;70;24;62;71;69;71;9;24;27;34;70;74;74;67;9;26;12;64;17;76;47;68;97;92;64;59;68;4;72;29;56;9;67;83;65;76;69;0;69;9;8;40;69;13;12;27;17;72;65;12;74;70;65;45;69
Diversity-Escuela de Buceo;50;68;72;20;10;10;65;76;69;73;7;5;37;47;41;70;63;39;69;82;10;14;15;6;55;177;28;7;5;72;10;11;1;66;9;9;10;16;67;63;17;11;10;34;8;9;10;65;9;53;74;15;7;70;19;7;9;8;70;52;52;51;5;12;16;25;71;52;66;52;56;78;42;26;58;107;82;68;4;72;13;47;83;64;5;26;16;14;6;70;0;68;70;57;20;75;67;72;70;9;23;73;29;0;21;62;8
Centro de Buceo Ecosub Tenerife;26;39;43;72;71;70;4;40;5;32;70;69;84;30;40;30;62;93;14;52;66;76;64;67;20;238;91;69;68;43;72;73;67;6;70;70;73;65;3;15;66;73;71;89;70;71;72;5;71;34;34;60;70;30;61;70;68;70;4;24;27;34;69;74;73;66;4;26;13;70;17;82;46;68;97;98;64;65;68;9;71;29;57;9;66;90;65;76;69;8;69;0;5;40;68;20;3;33;16;72;64;18;81;70;65;44;69
Centro de Buceo el Cardumen;26;39;43;72;71;70;7;40;1;29;70;69;80;30;40;26;62;93;10;48;66;76;64;67;20;238;88;69;68;43;72;73;67;6;70;70;73;65;6;15;66;73;71;88;70;71;72;5;71;34;31;60;70;27;61;70;68;70;3;24;27;34;69;74;73;66;2;26;12;67;17;79;46;67;97;95;64;61;68;5;71;29;56;8;66;86;65;76;69;4;69;3;0;40;68;16;6;29;16;72;64;15;77;70;65;44;69
Marina de Santa Cruz;22;39;44;62;61;60;37;48;41;58;60;59;89;16;30;56;83;83;40;78;56;66;54;57;26;228;80;59;58;43;62;63;57;37;60;59;62;54;38;34;55;62;61;78;60;60;61;36;61;17;61;50;60;56;51;60;58;60;42;24;24;16;59;64;63;56;42;23;37;96;27;109;36;57;87;125;39;91;57;43;61;13;67;35;56;78;54;66;59;41;59;39;41;0;58;46;39;59;42;61;54;44;81;59;54;6;58
Marina de San Miguel;51;68;73;23;23;23;66;77;70;87;22;21;51;48;41;84;69;45;69;96;19;29;8;19;55;190;42;22;20;72;24;25;20;66;22;22;25;7;67;63;15;25;23;40;22;23;24;65;24;53;88;15;22;84;20;22;21;23;71;53;53;52;22;26;26;25;71;52;66;66;56;92;42;24;58;121;82;82;20;72;23;47;88;64;19;40;4;28;21;70;21;68;70;58;0;75;68;86;71;24;22;73;43;22;20;62;21
Charco de la Laja;31;44;48;77;76;76;18;45;15;15;78;74;67;35;45;13;66;99;13;35;72;80;69;72;26;243;74;77;73;48;78;80;73;18;75;75;79;70;19;20;71;77;76;92;78;76;78;17;79;39;17;65;78;13;67;75;74;78;18;29;32;39;75;79;79;72;19;31;17;53;22;66;51;73;102;81;69;48;73;16;76;34;61;13;72;73;70;79;77;14;74;18;18;45;73;0;19;16;22;79;70;13;64;75;70;50;74
Complejo Costa Martiánez;23;36;40;69;68;67;1;37;5;31;67;66;82;27;37;28;59;91;12;50;64;73;61;64;18;235;90;67;65;40;69;70;64;4;67;67;70;62;2;12;63;70;68;86;67;68;69;4;69;31;33;57;67;29;59;67;66;67;7;21;24;31;67;71;71;64;8;23;10;69;14;81;43;65;94;97;61;63;65;9;68;26;54;8;64;88;62;73;66;8;66;2;7;37;65;18;0;31;13;69;62;17;79;67;62;42;66
El Caletón;44;56;61;83;74;73;30;58;28;11;68;71;57;47;58;8;78;102;26;18;73;71;78;69;38;241;65;68;68;61;69;70;68;30;73;73;69;79;31;33;80;67;74;92;68;74;69;29;70;52;1;78;68;8;79;72;71;69;31;41;44;51;71;69;79;84;31;44;29;39;35;57;64;85;115;76;81;31;68;29;75;47;73;25;70;63;79;69;67;27;69;31;30;57;83;16;32;0;34;70;82;25;54;70;82;62;72
El Bollullo;26;39;44;73;72;71;11;40;15;34;71;69;86;30;41;32;62;94;16;54;67;77;64;67;21;239;93;70;68;43;73;74;68;11;71;70;73;65;13;16;66;73;71;88;70;71;72;11;72;35;36;60;71;32;62;71;69;71;18;24;27;34;70;75;74;67;18;27;13;72;17;84;47;68;98;100;64;67;68;19;72;30;57;11;67;92;65;77;69;17;69;14;17;40;69;22;13;35;0;72;65;20;83;70;65;45;69
El Duque;52;69;74;21;13;12;67;78;71;72;5;10;36;49;42;69;65;40;70;82;12;12;16;7;56;180;27;4;6;73;6;7;7;67;12;11;6;17;68;64;18;10;12;35;4;12;5;66;0;54;73;16;5;69;21;10;10;1;71;54;54;52;10;11;17;26;72;53;67;51;57;77;43;27;59;106;83;67;7;73;14;48;84;65;8;26;17;13;6;71;8;69;71;59;21;78;69;71;72;0;24;74;28;9;23;63;10
El Médano;44;61;66;26;24;23;59;70;63;81;23;22;52;41;35;78;71;46;62;97;19;29;17;20;48;191;43;22;21;66;25;26;20;59;23;22;25;18;61;56;16;25;24;42;22;23;24;59;24;46;83;13;23;79;6;23;21;23;64;46;46;45;22;27;26;18;64;45;60;66;49;92;35;10;51;121;76;83;20;66;24;40;80;58;19;41;18;29;22;63;22;62;63;51;22;68;61;82;64;24;0;67;44;22;7;56;21
El Socorro;30;42;47;76;75;74;16;44;14;24;74;73;76;33;44;22;64;97;12;44;70;80;67;70;24;242;84;73;71;47;76;77;71;16;74;73;76;68;17;19;69;76;75;91;73;74;75;15;75;38;27;64;74;22;65;74;72;74;17;27;30;37;73;78;77;70;17;30;15;62;21;75;50;71;101;91;68;57;71;15;75;33;59;11;70;82;68;80;73;13;73;17;16;43;72;12;18;25;20;75;68;0;73;73;68;48;72
La Arena;71;88;93;41;32;31;77;97;75;58;26;28;10;68;62;55;63;60;73;68;31;28;36;26;75;199;14;26;26;93;27;28;26;77;31;31;27;37;79;80;38;24;32;54;26;32;26;77;28;73;59;36;26;55;40;30;29;27;78;73;73;72;29;27;37;46;79;72;77;37;76;63;62;47;79;92;103;53;26;76;33;67;82;73;28;12;37;23;25;74;27;78;78;78;40;64;79;57;82;28;43;73;0;28;42;83;30
La Pinta;51;69;73;21;11;10;66;77;70;74;8;6;38;48;42;71;64;40;69;83;11;15;16;6;56;178;29;8;6;73;11;12;2;66;10;9;11;17;68;64;18;12;11;35;8;10;10;66;10;53;75;16;8;71;20;8;10;9;71;53;53;52;6;13;17;26;71;52;67;52;56;79;42;27;59;108;83;69;5;73;14;47;83;65;5;27;17;15;7;70;0;69;71;58;21;75;68;73;71;10;23;74;30;0;22;63;9
La Tejita;44;62;66;24;24;23;59;70;63;81;23;22;52;41;35;79;70;46;63;97;19;29;15;20;49;191;43;22;21;66;25;26;20;60;23;23;25;15;61;57;14;26;24;40;23;24;25;59;24;47;83;13;23;79;6;23;21;23;64;46;46;45;22;27;26;18;65;46;60;66;50;93;36;7;51;121;76;83;20;66;24;41;81;58;19;41;15;29;22;64;22;62;64;51;19;69;61;82;64;25;6;67;44;23;0;56;22
